[2026-03-25 13:38:05,812] 1025 httpx - INFO -HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[2026-03-25 13:38:06,554] 1025 httpx - INFO -HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[2026-03-25 13:38:07,216] 1025 httpx - INFO -HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-03-25 13:38:07,232] 107 dagshub - INFO -Accessing as AyaTant
[2026-03-25 13:38:08,026] 1025 httpx - INFO -HTTP Request: GET https://dagshub.com/api/v1/repos/AyaTant/networksecurity "HTTP/1.1 200 OK"
[2026-03-25 13:38:08,583] 1025 httpx - INFO -HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-03-25 13:38:08,714] 107 dagshub - INFO -Initialized MLflow to track repo "AyaTant/networksecurity"
[2026-03-25 13:38:08,725] 107 dagshub - INFO -Repository AyaTant/networksecurity initialized!
[2026-03-25 13:38:08,729] 17 root - INFO -Intiate the data ingestion
[2026-03-25 13:38:23,875] 58 root - INFO -Performed train test split on the dataframe
[2026-03-25 13:38:23,883] 59 root - INFO -Exited split_Data_as_train_test method of Data_Ingestion class
[2026-03-25 13:38:23,887] 65 root - INFO -Exporting train and test file path.
[2026-03-25 13:38:24,170] 70 root - INFO -Exported train and test file path.
[2026-03-25 13:38:24,173] 19 root - INFO -Data Intiation Completed
[2026-03-25 13:38:24,262] 25 root - INFO -Initiate the data validation
[2026-03-25 13:38:24,711] 31 root - INFO -required number of columns:2
[2026-03-25 13:38:24,711] 32 root - INFO -data Frame has 31 columns
[2026-03-25 13:38:24,711] 31 root - INFO -required number of columns:2
[2026-03-25 13:38:24,711] 32 root - INFO -data Frame has 31 columns
[2026-03-25 13:38:25,428] 27 root - INFO -data validation Completed
[2026-03-25 13:38:25,438] 32 root - INFO -Data transformation started
[2026-03-25 13:38:25,439] 57 root - INFO -entered initiate_data_tranformation method of Data Transformation class
[2026-03-25 13:38:25,439] 59 root - INFO -Starting data Transformation
[2026-03-25 13:38:25,797] 45 root - INFO -Entered get_data_trnasformer_object method of Trnasformation class
[2026-03-25 13:38:25,799] 50 root - INFO -Initialised KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-03-25 13:38:25,930] 44 root - INFO -Entered the save_object method of MainUtils class
[2026-03-25 13:38:25,954] 48 root - INFO -Exited the save_object method of MainUtils class
[2026-03-25 13:38:25,959] 36 root - INFO -Data transformation completed
[2026-03-25 13:38:25,960] 39 root - INFO -Model Training started
[2026-03-25 13:55:19,507] 44 root - INFO -Entered the save_object method of MainUtils class
[2026-03-25 13:55:19,532] 48 root - INFO -Exited the save_object method of MainUtils class
[2026-03-25 13:55:19,539] 121 root - INFO -Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_25_2026_13_36_57\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9912796592983167, precision_score=0.9874747474747475, recall_score=0.995114006514658), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9767814251401121, precision_score=0.9736632083000798, recall_score=0.9799196787148594))
[2026-03-25 13:55:19,833] 43 root - INFO -Model training artifact created
